date,lat,lon,zone,deaths,confirmed
15,-5.1525,-80.6578,1,1.0,18.0
16,-5.1525,-80.6578,1,1.0,19.0
17,-5.1525,-80.6578,1,1.0,19.0
18,-8.1,-79.0306,1,1.0,5.0
18,-5.1525,-80.6578,1,1.0,19.0
19,-8.1,-79.0306,1,1.0,6.0
19,-5.1525,-80.6578,1,1.0,19.0
20,-8.1,-79.0306,1,1.0,9.0
20,-5.1525,-80.6578,1,1.0,20.0
21,-8.1,-79.0306,1,2.0,9.0
21,-5.1525,-80.6578,1,1.0,20.0
22,-8.1,-79.0306,1,2.0,10.0
22,-6.7669,-79.8506,1,1.0,15.0
22,-5.1525,-80.6578,1,1.0,20.0
23,-8.1,-79.0306,1,2.0,13.0
23,-6.7669,-79.8506,1,1.0,22.0
23,-5.1525,-80.6578,1,1.0,21.0
24,-8.1,-79.0306,1,2.0,15.0
24,-6.7669,-79.8506,1,1.0,22.0
24,-3.7481,-73.2442,1,2.0,53.0
24,-5.1525,-80.6578,1,1.0,21.0
25,-8.1,-79.0306,1,2.0,19.0
25,-6.7669,-79.8506,1,1.0,30.0
25,-3.7481,-73.2442,1,2.0,58.0
25,-5.1525,-80.6578,1,1.0,21.0
25,-6.0347,-76.9742,1,1.0,6.0
25,-3.5711,-80.4592,1,1.0,10.0
26,-8.1,-79.0306,1,3.0,32.0
26,-6.7669,-79.8506,1,3.0,34.0
26,-3.7481,-73.2442,1,2.0,66.0
26,-5.1525,-80.6578,1,1.0,26.0
26,-6.0347,-76.9742,1,1.0,6.0
26,-3.5711,-80.4592,1,1.0,13.0
27,-8.1,-79.0306,1,3.0,34.0
27,-6.7669,-79.8506,1,3.0,37.0
27,-3.7481,-73.2442,1,2.0,72.0
27,-5.1525,-80.6578,1,1.0,27.0
27,-6.0347,-76.9742,1,1.0,6.0
27,-3.5711,-80.4592,1,2.0,15.0
28,-8.1,-79.0306,1,4.0,44.0
28,-6.7669,-79.8506,1,2.0,35.0
28,-3.7481,-73.2442,1,2.0,84.0
28,-5.1525,-80.6578,1,1.0,27.0
28,-6.0347,-76.9742,1,1.0,6.0
28,-3.5711,-80.4592,1,2.0,16.0
29,-8.1,-79.0306,1,4.0,50.0
29,-6.7669,-79.8506,1,3.0,55.0
29,-3.7481,-73.2442,1,2.0,106.0
29,-5.1525,-80.6578,1,1.0,27.0
29,-6.0347,-76.9742,1,1.0,8.0
29,-3.5711,-80.4592,1,3.0,20.0
30,-8.1,-79.0306,1,4.0,50.0
30,-6.7669,-79.8506,1,3.0,100.0
30,-3.7481,-73.2442,1,2.0,143.0
30,-5.1525,-80.6578,1,1.0,29.0
30,-6.0347,-76.9742,1,1.0,8.0
30,-3.5711,-80.4592,1,3.0,26.0
31,-8.1,-79.0306,1,5.0,56.0
31,-6.7669,-79.8506,1,3.0,100.0
31,-3.7481,-73.2442,1,2.0,171.0
31,-5.1525,-80.6578,1,1.0,30.0
31,-6.0347,-76.9742,1,1.0,8.0
31,-3.5711,-80.4592,1,3.0,26.0
32,-8.1,-79.0306,1,5.0,58.0
32,-6.7669,-79.8506,1,4.0,108.0
32,-3.7481,-73.2442,1,3.0,206.0
32,-5.1525,-80.6578,1,3.0,35.0
32,-6.0347,-76.9742,1,1.0,8.0
32,-3.5711,-80.4592,1,4.0,27.0
33,-8.1,-79.0306,1,5.0,82.0
33,-6.7669,-79.8506,1,4.0,246.0
33,-3.7481,-73.2442,1,13.0,290.0
33,-5.1525,-80.6578,1,1.0,41.0
33,-6.0347,-76.9742,1,1.0,11.0
33,-3.5711,-80.4592,1,4.0,27.0
34,-8.1,-79.0306,1,6.0,96.0
34,-6.7669,-79.8506,1,6.0,302.0
34,-3.7481,-73.2442,1,5.0,315.0
34,-5.1525,-80.6578,1,3.0,53.0
34,-6.0347,-76.9742,1,1.0,15.0
34,-3.5711,-80.4592,1,4.0,27.0
35,-8.1,-79.0306,1,6.0,101.0
35,-6.7669,-79.8506,1,32.0,302.0
35,-3.7481,-73.2442,1,5.0,315.0
35,-5.1525,-80.6578,1,3.0,68.0
35,-6.0347,-76.9742,1,1.0,18.0
35,-3.5711,-80.4592,1,4.0,27.0
36,-8.1,-79.0306,1,6.0,108.0
36,-6.7669,-79.8506,1,33.0,326.0
36,-3.7481,-73.2442,1,6.0,315.0
36,-5.1525,-80.6578,1,5.0,91.0
36,-6.0347,-76.9742,1,1.0,20.0
36,-3.5711,-80.4592,1,4.0,68.0
39,-8.1,-79.0306,1,7.0,166.0
39,-6.7669,-79.8506,1,44.0,427.0
39,-3.7481,-73.2442,1,9.0,357.0
39,-5.1525,-80.6578,1,14.0,224.0
39,-6.0347,-76.9742,1,1.0,23.0
39,-3.5711,-80.4592,1,4.0,69.0
40,-7.1547,-78.5108,1,1.0,20.0
40,-8.1,-79.0306,1,7.0,184.0
40,-6.7669,-79.8506,1,53.0,428.0
40,-3.7481,-73.2442,1,10.0,396.0
40,-5.1525,-80.6578,1,14.0,229.0
40,-6.0347,-76.9742,1,1.0,48.0
