|------|----------|----------|------|--------|-----------|
| date | lat      | lon      | zone | deaths | confirmed |
|------|----------|----------|------|--------|-----------|
| 19   | -13.5192 | -71.9767 | 2    | 1.0    | 10.0      |
|------|----------|----------|------|--------|-----------|
| 20   | -13.5192 | -71.9767 | 2    | 1.0    | 10.0      |
|------|----------|----------|------|--------|-----------|
| 21   | -13.5192 | -71.9767 | 2    | 1.0    | 10.0      |
|------|----------|----------|------|--------|-----------|
| 22   | -13.5192 | -71.9767 | 2    | 2.0    | 11.0      |
|------|----------|----------|------|--------|-----------|
| 23   | -13.5192 | -71.9767 | 2    | 2.0    | 17.0      |
|------|----------|----------|------|--------|-----------|
| 24   | -13.5192 | -71.9767 | 2    | 2.0    | 25.0      |
|------|----------|----------|------|--------|-----------|
| 25   | -13.5192 | -71.9767 | 2    | 2.0    | 26.0      |
|------|----------|----------|------|--------|-----------|
| 26   | -16.3933 | -71.5289 | 2    | 1.0    | 30.0      |
|------|----------|----------|------|--------|-----------|
| 26   | -13.5192 | -71.9767 | 2    | 2.0    | 34.0      |
|------|----------|----------|------|--------|-----------|
| 27   | -16.3933 | -71.5289 | 2    | 1.0    | 30.0      |
|------|----------|----------|------|--------|-----------|
| 27   | -13.5192 | -71.9767 | 2    | 2.0    | 38.0      |
|------|----------|----------|------|--------|-----------|
| 28   | -16.3933 | -71.5289 | 2    | 1.0    | 37.0      |
|------|----------|----------|------|--------|-----------|
| 28   | -13.5192 | -71.9767 | 2    | 3.0    | 44.0      |
|------|----------|----------|------|--------|-----------|
| 29   | -16.3933 | -71.5289 | 2    | 2.0    | 37.0      |
|------|----------|----------|------|--------|-----------|
| 29   | -13.5192 | -71.9767 | 2    | 3.0    | 48.0      |
|------|----------|----------|------|--------|-----------|
| 29   | -14.0636 | -75.7292 | 2    | 1.0    | 9.0       |
|------|----------|----------|------|--------|-----------|
| 30   | -16.3933 | -71.5289 | 2    | 3.0    | 51.0      |
|------|----------|----------|------|--------|-----------|
| 30   | -13.5192 | -71.9767 | 2    | 3.0    | 52.0      |
|------|----------|----------|------|--------|-----------|
| 30   | -12.7869 | -74.9714 | 2    | 1.0    | 1.0       |
|------|----------|----------|------|--------|-----------|
| 30   | -14.0636 | -75.7292 | 2    | 1.0    | 14.0      |
|------|----------|----------|------|--------|-----------|
| 31   | -16.3933 | -71.5289 | 2    | 4.0    | 60.0      |
|------|----------|----------|------|--------|-----------|
| 31   | -13.5192 | -71.9767 | 2    | 3.0    | 54.0      |
|------|----------|----------|------|--------|-----------|
| 31   | -12.7869 | -74.9714 | 2    | 1.0    | 2.0       |
|------|----------|----------|------|--------|-----------|
| 31   | -14.0636 | -75.7292 | 2    | 1.0    | 18.0      |
|------|----------|----------|------|--------|-----------|
| 32   | -16.3933 | -71.5289 | 2    | 4.0    | 66.0      |
|------|----------|----------|------|--------|-----------|
| 32   | -13.5192 | -71.9767 | 2    | 3.0    | 54.0      |
|------|----------|----------|------|--------|-----------|
| 32   | -12.7869 | -74.9714 | 2    | 1.0    | 7.0       |
|------|----------|----------|------|--------|-----------|
| 32   | -14.0636 | -75.7292 | 2    | 2.0    | 24.0      |
|------|----------|----------|------|--------|-----------|
| 33   | -16.3933 | -71.5289 | 2    | 5.0    | 74.0      |
|------|----------|----------|------|--------|-----------|
| 33   | -13.5192 | -71.9767 | 2    | 3.0    | 54.0      |
|------|----------|----------|------|--------|-----------|
| 33   | -12.7869 | -74.9714 | 2    | 1.0    | 7.0       |
|------|----------|----------|------|--------|-----------|
| 33   | -14.0636 | -75.7292 | 2    | 3.0    | 28.0      |
|------|----------|----------|------|--------|-----------|
| 34   | -16.3933 | -71.5289 | 2    | 4.0    | 77.0      |
|------|----------|----------|------|--------|-----------|
| 34   | -13.5192 | -71.9767 | 2    | 3.0    | 55.0      |
|------|----------|----------|------|--------|-----------|
| 34   | -12.7869 | -74.9714 | 2    | 1.0    | 7.0       |
|------|----------|----------|------|--------|-----------|
| 34   | -14.0636 | -75.7292 | 2    | 2.0    | 34.0      |
|------|----------|----------|------|--------|-----------|
| 35   | -16.3933 | -71.5289 | 2    | 4.0    | 83.0      |
|------|----------|----------|------|--------|-----------|
| 35   | -13.5192 | -71.9767 | 2    | 3.0    | 57.0      |
|------|----------|----------|------|--------|-----------|
| 35   | -12.7869 | -74.9714 | 2    | 1.0    | 7.0       |
|------|----------|----------|------|--------|-----------|
| 35   | -14.0636 | -75.7292 | 2    | 2.0    | 37.0      |
|------|----------|----------|------|--------|-----------|
| 36   | -16.3933 | -71.5289 | 2    | 4.0    | 85.0      |
|------|----------|----------|------|--------|-----------|
| 36   | -13.5192 | -71.9767 | 2    | 3.0    | 58.0      |
|------|----------|----------|------|--------|-----------|
| 36   | -12.7869 | -74.9714 | 2    | 1.0    | 7.0       |
|------|----------|----------|------|--------|-----------|
| 36   | -14.0636 | -75.7292 | 2    | 2.0    | 47.0      |
|------|----------|----------|------|--------|-----------|
| 39   | -16.3933 | -71.5289 | 2    | 5.0    | 99.0      |
|------|----------|----------|------|--------|-----------|
| 39   | -13.5192 | -71.9767 | 2    | 3.0    | 106.0     |
|------|----------|----------|------|--------|-----------|
| 39   | -12.7869 | -74.9714 | 2    | 1.0    | 10.0      |
|------|----------|----------|------|--------|-----------|
| 39   | -14.0636 | -75.7292 | 2    | 2.0    | 76.0      |
|------|----------|----------|------|--------|-----------|
| 40   | -16.3933 | -71.5289 | 2    | 5.0    | 98.0      |
|------|----------|----------|------|--------|-----------|
| 40   | -13.5192 | -71.9767 | 2    | 3.0    | 108.0     |
|------|----------|----------|------|--------|-----------|
| 40   | -12.7869 | -74.9714 | 2    | 1.0    | 11.0      |
|------|----------|----------|------|--------|-----------|
| 40   | -14.0636 | -75.7292 | 2    | 2.0    | 101.0     |
|------|----------|----------|------|--------|-----------|
| 41   | -16.3933 | -71.5289 | 2    | 5.0    | 111.0     |
|------|----------|----------|------|--------|-----------|
| 41   | -13.5192 | -71.9767 | 2    | 3.0    | 109.0     |
|------|----------|----------|------|--------|-----------|
| 41   | -12.7869 | -74.9714 | 2    | 1.0    | 11.0      |
|------|----------|----------|------|--------|-----------|
| 41   | -14.0636 | -75.7292 | 2    | 2.0    | 106.0     |
|------|----------|----------|------|--------|-----------|
| 42   | -16.3933 | -71.5289 | 2    | 5.0    | 134.0     |
|------|----------|----------|------|--------|-----------|
| 42   | -13.5192 | -71.9767 | 2    | 3.0    | 112.0     |
|------|----------|----------|------|--------|-----------|
| 42   | -12.7869 | -74.9714 | 2    | 1.0    | 17.0      |
|------|----------|----------|------|--------|-----------|
| 42   | -14.0636 | -75.7292 | 2    | 2.0    | 119.0     |
|------|----------|----------|------|--------|-----------|
| 43   | -16.3933 | -71.5289 | 2    | 5.0    | 146.0     |
|------|----------|----------|------|--------|-----------|
| 43   | -13.5192 | -71.9767 | 2    | 3.0    | 123.0     |
|------|----------|----------|------|--------|-----------|
| 43   | -12.7869 | -74.9714 | 2    | 1.0    | 18.0      |
|------|----------|----------|------|--------|-----------|
| 43   | -14.0636 | -75.7292 | 2    | 6.0    | 124.0     |
|------|----------|----------|------|--------|-----------|
| 44   | -16.3933 | -71.5289 | 2    | 5.0    | 192.0     |
|------|----------|----------|------|--------|-----------|
| 44   | -13.5192 | -71.9767 | 2    | 3.0    | 130.0     |
|------|----------|----------|------|--------|-----------|
| 44   | -12.7869 | -74.9714 | 2    | 1.0    | 20.0      |
|------|----------|----------|------|--------|-----------|
| 44   | -14.0636 | -75.7292 | 2    | 6.0    | 141.0     |
|------|----------|----------|------|--------|-----------|
| 45   | -16.3933 | -71.5289 | 2    | 8.0    | 229.0     |
|------|----------|----------|------|--------|-----------|
| 45   | -13.5192 | -71.9767 | 2    | 3.0    | 130.0     |
|------|----------|----------|------|--------|-----------|
| 45   | -12.7869 | -74.9714 | 2    | 1.0    | 21.0      |
|------|----------|----------|------|--------|-----------|
| 45   | -14.0636 | -75.7292 | 2    | 6.0    | 145.0     |
|------|----------|----------|------|--------|-----------|
| 46   | -16.3933 | -71.5289 | 2    | 8.0    | 273.0     |
|------|----------|----------|------|--------|-----------|
| 46   | -13.5192 | -71.9767 | 2    | 3.0    | 132.0     |
|------|----------|----------|------|--------|-----------|
| 46   | -12.7869 | -74.9714 | 2    | 1.0    | 16.0      |
|------|----------|----------|------|--------|-----------|
| 46   | -14.0636 | -75.7292 | 2    | 6.0    | 195.0     |
|------|----------|----------|------|--------|-----------|
| 47   | -16.3933 | -71.5289 | 2    | 8.0    | 276.0     |
|------|----------|----------|------|--------|-----------|
| 47   | -13.5192 | -71.9767 | 2    | 3.0    | 147.0     |
|------|----------|----------|------|--------|-----------|
| 47   | -12.7869 | -74.9714 | 2    | 1.0    | 19.0      |
|------|----------|----------|------|--------|-----------|
| 47   | -14.0636 | -75.7292 | 2    | 6.0    | 213.0     |
|------|----------|----------|------|--------|-----------|
| 48   | -16.3933 | -71.5289 | 2    | 8.0    | 291.0     |
|------|----------|----------|------|--------|-----------|
| 48   | -13.5192 | -71.9767 | 2    | 3.0    | 158.0     |
|------|----------|----------|------|--------|-----------|
| 48   | -12.7869 | -74.9714 | 2    | 1.0    | 21.0      |
|------|----------|----------|------|--------|-----------|
| 48   | -14.0636 | -75.7292 | 2    | 6.0    | 248.0     |
|------|----------|----------|------|--------|-----------|
| 49   | -16.3933 | -71.5289 | 2    | 10.0   | 311.0     |
|------|----------|----------|------|--------|-----------|
| 49   | -13.5192 | -71.9767 | 2    | 3.0    | 160.0     |
|------|----------|----------|------|--------|-----------|
| 49   | -12.7869 | -74.9714 | 2    | 1.0    | 23.0      |
|------|----------|----------|------|--------|-----------|
| 49   | -14.0636 | -75.7292 | 2    | 6.0    | 258.0     |
|------|----------|----------|------|--------|-----------|
| 50   | -16.3933 | -71.5289 | 2    | 10.0   | 364.0     |
|------|----------|----------|------|--------|-----------|
| 50   | -13.5192 | -71.9767 | 2    | 3.0    | 174.0     |
|------|----------|----------|------|--------|-----------|
| 50   | -12.7869 | -74.9714 | 2    | 1.0    | 33.0      |
|------|----------|----------|------|--------|-----------|
| 50   | -14.0636 | -75.7292 | 2    | 6.0    | 268.0     |
|------|----------|----------|------|--------|-----------|
| 50   | -18.0019 | -70.2519 | 2    | 1.0    | 67.0      |
|------|----------|----------|------|--------|-----------|
| 51   | -16.3933 | -71.5289 | 2    | 10.0   | 396.0     |
|------|----------|----------|------|--------|-----------|
| 51   | -13.5192 | -71.9767 | 2    | 3.0    | 182.0     |
|------|----------|----------|------|--------|-----------|
