,date,deaths,confirmed,lat,lon
73,2020-03-19,3.0,194.0,-12.0453,-77.0308
87,2020-03-20,4.0,212.0,-12.0453,-77.0308
101,2020-03-21,4.0,241.0,-12.0453,-77.0308
115,2020-03-22,4.0,278.0,-12.0453,-77.0308
129,2020-03-23,4.0,307.0,-12.0453,-77.0308
144,2020-03-24,5.0,322.0,-12.0453,-77.0308
161,2020-03-25,6.0,369.0,-12.0453,-77.0308
178,2020-03-26,6.0,453.0,-12.0453,-77.0308
195,2020-03-27,7.0,494.0,-12.0453,-77.0308
213,2020-03-28,9.0,518.0,-12.0453,-77.0308
232,2020-03-29,10.0,639.0,-12.0453,-77.0308
252,2020-03-30,13.0,718.0,-12.0453,-77.0308
272,2020-03-31,16.0,799.0,-12.0453,-77.0308
293,2020-04-01,28.0,990.0,-12.0453,-77.0308
314,2020-04-02,34.0,1059.0,-12.0453,-77.0308
336,2020-04-03,39.0,1179.0,-12.0453,-77.0308
358,2020-04-04,46.0,1257.0,-12.0453,-77.0308
380,2020-04-05,51.0,1639.0,-12.0453,-77.0308
403,2020-04-06,58.0,1837.0,-12.0453,-77.0308
426,2020-04-07,65.0,2100.0,-12.0453,-77.0308
451,2020-04-08,72.0,3016.0,-12.0453,-77.0308
476,2020-04-09,82.0,3704.0,-12.0453,-77.0308
501,2020-04-10,87.0,4210.0,-12.0453,-77.0308
527,2020-04-11,94.0,4933.0,-12.0453,-77.0308
605,2020-04-14,114.0,7476.0,-12.0453,-77.0308
631,2020-04-15,117.0,8412.0,-12.0453,-77.0308
657,2020-04-16,129.0,9107.0,-12.0453,-77.0308
683,2020-04-17,129.0,9793.0,-12.0453,-77.0308
709,2020-04-18,144.0,10234.0,-12.0453,-77.0308
735,2020-04-19,169.0,10877.0,-12.0453,-77.0308
761,2020-04-20,199.0,11297.0,-12.0453,-77.0308
787,2020-04-21,227.0,12256.0,-12.0453,-77.0308
813,2020-04-22,247.0,13214.0,-12.0453,-77.0308
839,2020-04-23,267.0,14300.0,-12.0453,-77.0308
865,2020-04-24,290.0,14814.0,-12.0453,-77.0308
891,2020-04-25,303.0,16567.0,-12.0453,-77.0308
917,2020-04-26,303.0,17884.0,-12.0453,-77.0308
943,2020-04-27,332.0,18571.0,-12.0453,-77.0308
969,2020-04-28,358.0,20048.0,-12.0453,-77.0308
995,2020-04-29,404.0,21854.0,-12.0453,-77.0308
1021,2020-04-30,437.0,23561.0,-12.0453,-77.0308
1047,2020-05-01,491.0,25718.0,-12.0453,-77.0308
1073,2020-05-02,504.0,26908.0,-12.0453,-77.0308
1099,2020-05-03,517.0,28990.0,-12.0453,-77.0308
1151,2020-05-05,584.0,32339.0,-12.0453,-77.0308
1177,2020-05-06,613.0,35299.0,-12.0453,-77.0308
1203,2020-05-07,636.0,37606.0,-12.0453,-77.0308
1229,2020-05-08,653.0,39837.0,-12.0453,-77.0308
1255,2020-05-09,662.0,41844.0,-12.0453,-77.0308
1281,2020-05-10,672.0,43284.0,-12.0453,-77.0308
1307,2020-05-11,689.0,44333.0,-12.0453,-77.0308
1333,2020-05-12,725.0,46507.0,-12.0453,-77.0308
1359,2020-05-13,791.0,49605.0,-12.0453,-77.0308
1385,2020-05-14,817.0,52545.0,-12.0453,-77.0308
1411,2020-05-15,820.0,54901.0,-12.0453,-77.0308
1437,2020-05-16,857.0,57473.0,-12.0453,-77.0308
1463,2020-05-17,915.0,59712.0,-12.0453,-77.0308
1489,2020-05-18,955.0,61197.0,-12.0453,-77.0308
1515,2020-05-19,1012.0,64278.0,-12.0453,-77.0308
1541,2020-05-20,1060.0,67060.0,-12.0453,-77.0308
1567,2020-05-21,1114.0,70155.0,-12.0453,-77.0308
1593,2020-05-22,1164.0,71719.0,-12.0453,-77.0308
1619,2020-05-23,1208.0,74037.0,-12.0453,-77.0308
1645,2020-05-24,1235.0,75716.0,-12.0453,-77.0308
1671,2020-05-25,1313.0,77486.0,-12.0453,-77.0308
1697,2020-05-26,1359.0,80882.0,-12.0453,-77.0308
1723,2020-05-27,1407.0,84994.0,-12.0453,-77.0308
1749,2020-05-28,1473.0,87478.0,-12.0453,-77.0308
1775,2020-05-29,1547.0,92057.0,-12.0453,-77.0308
1801,2020-05-30,1625.0,96583.0,-12.0453,-77.0308
1827,2020-05-31,1709.0,100526.0,-12.0453,-77.0308
1853,2020-06-01,1786.0,103020.0,-12.0453,-77.0308
1879,2020-06-02,1868.0,109078.0,-12.0453,-77.0308
1905,2020-06-03,1947.0,108323.0,-12.0453,-77.0308
1931,2020-06-04,2019.0,108680.0,-12.0453,-77.0308
1957,2020-06-05,2095.0,110161.0,-12.0453,-77.0308
1983,2020-06-06,2186.0,112974.0,-12.0453,-77.0308
2009,2020-06-07,2283.0,116159.0,-12.0453,-77.0308
2035,2020-06-08,2349.0,118036.0,-12.0453,-77.0308
2061,2020-06-09,2449.0,120183.0,-12.0453,-77.0308
2087,2020-06-10,2543.0,122883.0,-12.0453,-77.0308
2113,2020-06-11,2675.0,125640.0,-12.0453,-77.0308
2139,2020-06-12,2784.0,128700.0,-12.0453,-77.0308
2165,2020-06-13,2894.0,129865.0,-12.0453,-77.0308
2191,2020-06-14,2988.0,132186.0,-12.0453,-77.0308
2217,2020-06-15,3083.0,134008.0,-12.0453,-77.0308
2243,2020-06-16,3196.0,136464.0,-12.0453,-77.0308
2269,2020-06-17,3278.0,138203.0,-12.0453,-77.0308
2295,2020-06-18,3390.0,139869.0,-12.0453,-77.0308
2321,2020-06-19,3485.0,141512.0,-12.0453,-77.0308
2347,2020-06-20,3580.0,143017.0,-12.0453,-77.0308
2373,2020-06-21,3674.0,144623.0,-12.0453,-77.0308
2399,2020-06-22,3761.0,145466.0,-12.0453,-77.0308
2425,2020-06-23,3855.0,147372.0,-12.0453,-77.0308
2451,2020-06-24,3950.0,149377.0,-12.0453,-77.0308
2477,2020-06-25,4029.0,151225.0,-12.0453,-77.0308
2503,2020-06-26,4124.0,153068.0,-12.0453,-77.0308
2529,2020-06-27,4228.0,154713.0,-12.0453,-77.0308
2555,2020-06-28,4320.0,156172.0,-12.0453,-77.0308
2581,2020-06-29,4420.0,157050.0,-12.0453,-77.0308
2607,2020-06-30,4489.0,158189.0,-12.0453,-77.0308
2633,2020-07-01,4581.0,159403.0,-12.0453,-77.0308
2659,2020-07-02,4652.0,160901.0,-12.0453,-77.0308
2685,2020-07-03,4725.0,162211.0,-12.0453,-77.0308
2711,2020-07-04,4814.0,163824.0,-12.0453,-77.0308
2737,2020-07-05,4279.0,155958.0,-12.0453,-77.0308
2738,2020-07-05,621.0,9349.0,-12.0453,-77.0308
2764,2020-07-06,4325.0,157158.0,-12.0453,-77.0308
2765,2020-07-06,653.0,9495.0,-12.0453,-77.0308
2791,2020-07-07,4405.0,158761.0,-12.0453,-77.0308
2792,2020-07-07,658.0,9605.0,-12.0453,-77.0308
2818,2020-07-08,4473.0,159972.0,-12.0453,-77.0308
2819,2020-07-08,683.0,10014.0,-12.0453,-77.0308
2845,2020-07-09,4555.0,161220.0,-12.0453,-77.0308
2846,2020-07-09,697.0,10238.0,-12.0453,-77.0308
2872,2020-07-10,4655.0,162219.0,-12.0453,-77.0308
2873,2020-07-10,705.0,10635.0,-12.0453,-77.0308
2899,2020-07-11,4726.0,163294.0,-12.0453,-77.0308
2900,2020-07-11,721.0,10947.0,-12.0453,-77.0308
2926,2020-07-12,4804.0,164226.0,-12.0453,-77.0308
2927,2020-07-12,726.0,11405.0,-12.0453,-77.0308
2953,2020-07-13,4885.0,165611.0,-12.0453,-77.0308
2954,2020-07-13,726.0,11513.0,-12.0453,-77.0308
2980,2020-07-14,4958.0,167571.0,-12.0453,-77.0308
2981,2020-07-14,726.0,11606.0,-12.0453,-77.0308
3007,2020-07-15,5037.0,169017.0,-12.0453,-77.0308
3008,2020-07-15,726.0,12114.0,-12.0453,-77.0308
3034,2020-07-16,5130.0,170793.0,-12.0453,-77.0308
3035,2020-07-16,726.0,12632.0,-12.0453,-77.0308
3061,2020-07-17,5213.0,172788.0,-12.0453,-77.0308
3062,2020-07-17,726.0,12970.0,-12.0453,-77.0308
3088,2020-07-18,5206.0,174570.0,-12.0453,-77.0308
3089,2020-07-18,826.0,13285.0,-12.0453,-77.0308
3115,2020-07-19,5396.0,176221.0,-12.0453,-77.0308
3116,2020-07-19,726.0,13644.0,-12.0453,-77.0308
3142,2020-07-20,5497.0,177692.0,-12.0453,-77.0308
3143,2020-07-20,726.0,13857.0,-12.0453,-77.0308
3169,2020-07-21,5594.0,179560.0,-12.0453,-77.0308
3170,2020-07-21,726.0,13980.0,-12.0453,-77.0308
3196,2020-07-22,5688.0,181421.0,-12.0453,-77.0308
3197,2020-07-22,726.0,14538.0,-12.0453,-77.0308
3223,2020-07-23,7605.0,183475.0,-12.0453,-77.0308
3224,2020-07-23,726.0,14767.0,-12.0453,-77.0308
3250,2020-07-24,7687.0,185156.0,-12.0453,-77.0308
3251,2020-07-24,726.0,15314.0,-12.0453,-77.0308
3331,2020-07-27,7922.0,190422.0,-12.0453,-77.0308
3332,2020-07-27,777.0,16292.0,-12.0453,-77.0308
3358,2020-07-28,7983.0,192748.0,-12.0453,-77.0308
3359,2020-07-28,802.0,16461.0,-12.0453,-77.0308
3385,2020-07-29,8061.0,194179.0,-12.0453,-77.0308
3386,2020-07-29,831.0,16985.0,-12.0453,-77.0308
3412,2020-07-30,8134.0,196476.0,-12.0453,-77.0308
3413,2020-07-30,859.0,17183.0,-12.0453,-77.0308
3466,2020-08-01,8274.0,202207.0,-12.0453,-77.0308
3467,2020-08-01,892.0,17673.0,-12.0453,-77.0308
3493,2020-08-02,8357.0,204806.0,-12.0453,-77.0308
3494,2020-08-02,902.0,17762.0,-12.0453,-77.0308
3520,2020-08-03,8443.0,206559.0,-12.0453,-77.0308
3521,2020-08-03,908.0,17855.0,-12.0453,-77.0308
3547,2020-08-04,8516.0,209339.0,-12.0453,-77.0308
3548,2020-08-04,912.0,18378.0,-12.0453,-77.0308
3574,2020-08-05,8598.0,212212.0,-12.0453,-77.0308
3575,2020-08-05,917.0,18605.0,-12.0453,-77.0308
3601,2020-08-06,8679.0,215058.0,-12.0453,-77.0308
3602,2020-08-06,920.0,18969.0,-12.0453,-77.0308
3628,2020-08-07,8786.0,217966.0,-12.0453,-77.0308
3629,2020-08-07,930.0,19190.0,-12.0453,-77.0308
3655,2020-08-08,8854.0,220202.0,-12.0453,-77.0308
3656,2020-08-08,937.0,19347.0,-12.0453,-77.0308
3682,2020-08-09,8967.0,222840.0,-12.0453,-77.0308
3683,2020-08-09,945.0,19469.0,-12.0453,-77.0308
3709,2020-08-10,9040.0,224836.0,-12.0453,-77.0308
3710,2020-08-10,953.0,19684.0,-12.0453,-77.0308
3736,2020-08-11,9138.0,227270.0,-12.0453,-77.0308
3737,2020-08-11,961.0,19854.0,-12.0453,-77.0308
3763,2020-08-12,9216.0,230619.0,-12.0453,-77.0308
3764,2020-08-12,967.0,20089.0,-12.0453,-77.0308
3790,2020-08-13,10281.0,234183.0,-12.0453,-77.0308
3791,2020-08-13,1084.0,20346.0,-12.0453,-77.0308
3817,2020-08-14,10340.0,237212.0,-12.0453,-77.0308
3818,2020-08-14,1086.0,20599.0,-12.0453,-77.0308
3844,2020-08-15,10428.0,240535.0,-12.0453,-77.0308
3845,2020-08-15,1092.0,20823.0,-12.0453,-77.0308
3871,2020-08-16,10494.0,244687.0,-12.0453,-77.0308
3872,2020-08-16,1131.0,20947.0,-12.0453,-77.0308
3898,2020-08-17,10581.0,247019.0,-12.0453,-77.0308
3899,2020-08-17,1135.0,21152.0,-12.0453,-77.0308
3925,2020-08-18,10656.0,250192.0,-12.0453,-77.0308
3926,2020-08-18,1143.0,21415.0,-12.0453,-77.0308
3952,2020-08-19,10698.0,253792.0,-12.0453,-77.0308
3953,2020-08-19,1147.0,21640.0,-12.0453,-77.0308
3979,2020-08-20,10760.0,256969.0,-12.0453,-77.0308
3980,2020-08-20,1151.0,21854.0,-12.0453,-77.0308
4006,2020-08-21,10858.0,259925.0,-12.0453,-77.0308
4007,2020-08-21,1160.0,22097.0,-12.0453,-77.0308
4033,2020-08-22,10933.0,262858.0,-12.0453,-77.0308
4034,2020-08-22,1167.0,22291.0,-12.0453,-77.0308
4060,2020-08-23,11034.0,265854.0,-12.0453,-77.0308
4061,2020-08-23,1178.0,22420.0,-12.0453,-77.0308
4087,2020-08-24,11103.0,267997.0,-12.0453,-77.0308
4088,2020-08-24,1184.0,22531.0,-12.0453,-77.0308
4114,2020-08-25,11194.0,270543.0,-12.0453,-77.0308
4115,2020-08-25,1192.0,22710.0,-12.0453,-77.0308
4141,2020-08-26,11245.0,272223.0,-12.0453,-77.0308
4142,2020-08-26,1196.0,22883.0,-12.0453,-77.0308
4168,2020-08-27,11315.0,274966.0,-12.0453,-77.0308
4169,2020-08-27,1198.0,23085.0,-12.0453,-77.0308
4195,2020-08-28,11395.0,277710.0,-12.0453,-77.0308
4196,2020-08-28,1208.0,23288.0,-12.0453,-77.0308
4222,2020-08-29,11456.0,281062.0,-12.0453,-77.0308
4223,2020-08-29,1212.0,23505.0,-12.0453,-77.0308
4249,2020-08-30,11544.0,283503.0,-12.0453,-77.0308
4250,2020-08-30,1213.0,23742.0,-12.0453,-77.0308
4276,2020-08-31,11612.0,285298.0,-12.0453,-77.0308
4277,2020-08-31,1220.0,23864.0,-12.0453,-77.0308
4303,2020-09-01,11681.0,287326.0,-12.0453,-77.0308
4304,2020-09-01,1224.0,24033.0,-12.0453,-77.0308
