date,region,region_orig,deaths,confirmed
13,LIMA,LIMA,3.0,194.0
14,LIMA,LIMA,4.0,212.0
15,PIURA,PIURA,1.0,18.0
16,LIMA,LIMA,4.0,278.0
16,PIURA,PIURA,1.0,19.0
17,LIMA,LIMA,4.0,307.0
17,PIURA,PIURA,1.0,19.0
18,LA LIBERTAD,LA LIBERTAD,1.0,5.0
18,LIMA,LIMA,5.0,322.0
18,PIURA,PIURA,1.0,19.0
19,CUSCO,CUSCO,1.0,10.0
19,LA LIBERTAD,LA LIBERTAD,1.0,6.0
19,LIMA,LIMA,6.0,369.0
19,PIURA,PIURA,1.0,19.0
20,CUSCO,CUSCO,1.0,10.0
20,LA LIBERTAD,LA LIBERTAD,1.0,9.0
20,LIMA,LIMA,6.0,453.0
20,PIURA,PIURA,1.0,20.0
21,CUSCO,CUSCO,1.0,10.0
21,LA LIBERTAD,LA LIBERTAD,2.0,9.0
21,LIMA,LIMA,7.0,494.0
21,PIURA,PIURA,1.0,20.0
22,CALLAO,CALLAO,1.0,18.0
22,CUSCO,CUSCO,2.0,11.0
22,LA LIBERTAD,LA LIBERTAD,2.0,10.0
22,LAMBAYEQUE,LAMBAYEQUE,1.0,15.0
22,LIMA,LIMA,9.0,518.0
22,PIURA,PIURA,1.0,20.0
23,ANCASH,ANCASH,1.0,6.0
23,CALLAO,CALLAO,1.0,29.0
23,CUSCO,CUSCO,2.0,17.0
23,LA LIBERTAD,LA LIBERTAD,2.0,13.0
23,LAMBAYEQUE,LAMBAYEQUE,1.0,22.0
23,LIMA,LIMA,10.0,639.0
23,PIURA,PIURA,1.0,21.0
24,ANCASH,ANCASH,1.0,11.0
24,CALLAO,CALLAO,2.0,24.0
24,CUSCO,CUSCO,2.0,25.0
24,LA LIBERTAD,LA LIBERTAD,2.0,15.0
24,LAMBAYEQUE,LAMBAYEQUE,1.0,22.0
24,LIMA,LIMA,13.0,718.0
24,LORETO,LORETO,2.0,53.0
24,PIURA,PIURA,1.0,21.0
25,ANCASH,ANCASH,1.0,11.0
25,CALLAO,CALLAO,3.0,25.0
25,CUSCO,CUSCO,2.0,26.0
25,LA LIBERTAD,LA LIBERTAD,2.0,19.0
25,LAMBAYEQUE,LAMBAYEQUE,1.0,30.0
25,LIMA,LIMA,16.0,799.0
25,LORETO,LORETO,2.0,58.0
25,PIURA,PIURA,1.0,21.0
25,SAN MARTIN,SAN MARTIN,1.0,6.0
25,TUMBES,TUMBES,1.0,10.0
26,ANCASH,ANCASH,1.0,15.0
26,AREQUIPA,AREQUIPA,1.0,30.0
26,CALLAO,CALLAO,4.0,37.0
26,CUSCO,CUSCO,2.0,34.0
26,LA LIBERTAD,LA LIBERTAD,3.0,32.0
